,summary,Klima,Anpassung,Sommer,Schule,word
temperatur+en könn+ten,2.3953035381932963,0.18436914197537346,-0.23080529056879096,-0.028687640145723975,-0.021799314098736536,temperatur+en könn+ten
könn+ten europa,2.374924543364938,0.17969105645178374,-0.22226099521835516,-0.029573676695573207,-0.013255018748300462,könn+ten europa
europa ende,2.356580189525011,0.17542648201363112,-0.21450682533304916,-0.030414923194194386,-0.005500848862994626,europa ende
ende jahr+hundert+s,2.342859179225199,0.17220178225133484,-0.20866738440717822,-0.031071072366094864,0.0003385920628761632,ende jahr+hundert+s
"2,3",4.636229621456193,0.33902486562918593,-0.8911967837833067,0.09560953520927695,-0.6821908073132521,"2,3"
"jahr+hundert+s 2,3",2.3157992789901067,0.1657493534840881,-0.19705021830345035,-0.03243225599754286,0.011955758166604184,"jahr+hundert+s 2,3"
"2,3 million+en",5.36315011918656,0.37753852134631927,-1.036846840704219,0.09609476931524442,-0.8278408642341646,"2,3 million+en"
million+en mensch+en,2.299184604230453,0.16172305452429706,-0.18984986962949404,-0.03331193520684856,0.019156106840560586,million+en mensch+en
mensch+en sterb+en,2.8729420943463357,0.4849690082422663,-0.4126319541273864,-0.26091789318107383,-0.20362597765733167,mensch+en sterb+en
Ergebnis,3.086242094323147,-0.1523549903044879,0.5817932695107576,-0.34189809244517644,-0.2752435530749588,Ergebnis
ergebnis komm+t,2.262232297973603,0.1525780825051568,-0.1736473977050177,-0.0353872370501143,0.035358578765036834,ergebnis komm+t
Fachzeitschrift,2.2470974567246835,0.14875168245309545,-0.16693469364298455,-0.03628421466699787,0.04207128282707007,Fachzeitschrift
komm+t fach+zeit+schrift,2.2470974567246835,0.14875168245309545,-0.16693469364298455,-0.03628421466699787,0.04207128282707007,komm+t fach+zeit+schrift
fach+zeit+schrift nature,2.234872093005816,0.14562444437056718,-0.16147932679894342,-0.03702855150073416,0.04752664967111132,fach+zeit+schrift nature
veröffentlichte,2.2236386595912396,0.14272120303671576,-0.15644021943398626,-0.03772801790488814,0.052565757036068236,veröffentlichte
medicine veröffentlich+t+e,2.2236386595912396,0.14272120303671576,-0.15644021943398626,-0.03772801790488814,0.052565757036068236,medicine veröffentlich+t+e
Stud…,2.2132693525660736,0.14001520711481275,-0.15176609688048784,-0.038386820127332306,0.057239879589566715,Stud…
veröffentlich+t+e stud…,2.2132693525660736,0.14001520711481275,-0.15176609688048784,-0.038386820127332306,0.057239879589566715,veröffentlich+t+e stud…
+2288,2.2089768029288384,0.1388875080051623,-0.14982475267012355,-0.03866322313609688,0.05918122379993097,+2288
stud… +2288,2.2089768029288384,0.1388875080051623,-0.14982475267012355,-0.03866322313609688,0.05918122379993097,stud… +2288
+2288 chars,2.205406926880816,0.13794625861717996,-0.148207368661512,-0.03889472999710309,0.060798607808542605,+2288 chars
danach,2.2650881408232544,-0.21491060898823092,-0.17490900189983838,0.1952215416873899,0.034096974570216154,danach
tag danach,2.2650881408232544,-0.21491060898823092,-0.17490900189983838,0.1952215416873899,0.034096974570216154,tag danach
Dax,2.583193391848195,-0.3463233188719985,0.19712860048452246,0.09567239562083107,-0.09731573531355173,Dax
danach dax,2.3027723304690606,-0.23141069468379868,-0.1914090875954063,0.21058501980903083,0.017596888874648196,danach dax
moderat,2.367015481887429,-0.25892680777142524,-0.21892520068303298,0.2351526703066419,-0.009919224212978398,moderat
Plus,2.4803212862820203,-0.30568503924568596,-0.2656834321572937,0.2741216158750355,-0.05667745568723915,Plus
moderat plus,2.4803212862820203,-0.30568503924568596,-0.2656834321572937,0.2741216158750355,-0.05667745568723915,moderat plus
Deepseek-Gewitter,2.6870584256592958,-0.3857440097621482,-0.3457424026737559,0.33373786560191837,-0.13673642620370127,Deepseek-Gewitter
plus deepseek-gewitter,2.6870584256592958,-0.3857440097621482,-0.3457424026737559,0.33373786560191837,-0.13673642620370127,plus deepseek-gewitter
deepseek-gewitter nach,2.6870584256592958,-0.3857440097621482,-0.3457424026737559,0.33373786560191837,-0.13673642620370127,deepseek-gewitter nach
deutlichen,2.562551581083691,-0.3383004100049501,-0.29829880291655764,0.2994196818116902,-0.0892928264465031,deutlichen
nach deutlich+en,2.562551581083691,-0.3383004100049501,-0.29829880291655764,0.2994196818116902,-0.0892928264465031,nach deutlich+en
Kursverlusten,2.4106662719307232,-0.2772001072158221,-0.23719850012742974,0.2507812963260495,-0.02819252365737515,Kursverlusten
deutlich+en kurs+verlust+en,2.4106662719307232,-0.2772001072158221,-0.23719850012742974,0.2507812963260495,-0.02819252365737515,deutlich+en kurs+verlust+en
kurs+verlust+en woche+n+beginn,2.292455858012631,-0.2269206065464031,-0.1869189994580106,0.20645253852689135,0.022086977012043825,kurs+verlust+en woche+n+beginn
woche+n+beginn zeig+en,2.2350697368597,-0.20156936629273858,-0.16156775920434613,0.18243385024674347,0.047438217265708446,woche+n+beginn zeig+en
zeig+en viel+e,2.1996327641271844,-0.1855873575735627,-0.1455857504851705,0.16666516481705262,0.06342022598488413,zeig+en viel+e
